iter	MultiClass
332	0.8551503908
333	0.8549133497
334	0.854469273
335	0.8540116086
336	0.853831814
337	0.8536436915
338	0.8532013872
339	0.8526890017
340	0.8521685924
341	0.8518252753
342	0.8513277613
343	0.8508531408
344	0.8505537736
345	0.8504031936
346	0.8501825997
347	0.8499308918
348	0.8496096327
349	0.8493023434
350	0.8489547833
351	0.8483564093
352	0.8481240409
353	0.8476375793
354	0.8471548951
355	0.8469472392
356	0.8465500761
357	0.8461330159
358	0.8459249391
359	0.8455018711
360	0.8450538151
361	0.8446326693
362	0.84418236
363	0.8438623818
364	0.8437157371
365	0.8433871478
366	0.8431733756
367	0.8428587186
368	0.8424194005
369	0.8422338762
370	0.8419599916
371	0.8415738943
372	0.8412759431
373	0.8411386544
374	0.8409837777
375	0.8407231054
376	0.8403189005
377	0.8400455946
378	0.8396100342
379	0.8392974357
380	0.839091202
381	0.8387540163
382	0.8384175586
383	0.8380694338
384	0.837758276
385	0.8373308106
386	0.8369918268
387	0.836555372
388	0.8362269297
389	0.8358947901
390	0.8353802616
391	0.8351276121
392	0.8346794202
393	0.8341344974
394	0.8337383039
395	0.8335252295
396	0.8332046721
397	0.8327891997
398	0.8322566808
399	0.8318006655
400	0.8315330564
401	0.8311124951
402	0.8308579548
403	0.8304858988
404	0.8300764471
405	0.8296434498
406	0.8293989438
407	0.8291167254
408	0.8287254597
409	0.828248358
410	0.827739557
411	0.8273966648
412	0.8272213869
413	0.8268712302
414	0.826482244
415	0.8261154766
416	0.8258424912
417	0.825665804
418	0.8253883117
419	0.8251199069
420	0.8247506521
421	0.8242598458
422	0.8240132751
423	0.8237379849
424	0.8234548075
425	0.823058237
426	0.8227460153
427	0.8224190334
428	0.8220133077
429	0.821809464
430	0.8213720837
431	0.8208828283
432	0.820682965
433	0.8202629895
434	0.8200804678
435	0.8197507255
436	0.8193568373
437	0.8190557685
438	0.8187470831
439	0.818407228
440	0.8181616019
441	0.8178262874
442	0.8174878518
443	0.8171214278
444	0.8167141222
445	0.8162219211
446	0.8160519342
447	0.8156069897
448	0.8152120173
449	0.8147352323
450	0.8145612373
451	0.8144136932
452	0.8140869931
453	0.8138275191
454	0.8132363131
455	0.8128688021
456	0.8126445953
457	0.8121220104
458	0.811662708
459	0.8113093393
460	0.8106768565
461	0.8103909098
462	0.8101183018
463	0.8097561579
464	0.8095548884
465	0.809102175
466	0.8086531586
467	0.8084117537
468	0.8080799378
469	0.8077295341
470	0.8072453962
471	0.80702035
472	0.8066633165
473	0.806331022
474	0.8060034004
475	0.8058481145
476	0.8055584171
477	0.8052754711
478	0.8050168101
479	0.8047798869
480	0.8044266649
481	0.8041757119
482	0.8037855285
483	0.8033655899
484	0.8032267984
485	0.8027213471
486	0.8024787521
487	0.8021345818
488	0.801756037
489	0.8014950646
490	0.8012907643
491	0.8011111248
492	0.8007625204
493	0.8003276228
494	0.800054289
495	0.7998345556
496	0.7995652853
497	0.7991426956
498	0.7988810256
499	0.7983673439
98758
0.7885025949
