iter	MultiClass
0	1.087527001
1	1.077454309
2	1.068450874
3	1.060284091
4	1.052622767
5	1.045817991
6	1.039814119
7	1.034268397
8	1.029239685
9	1.024739176
10	1.020344971
11	1.016495191
12	1.012873668
13	1.009614866
14	1.006478366
15	1.003506928
16	1.001054116
17	0.9987048918
18	0.9963449577
19	0.9944006068
20	0.9924916464
21	0.990827529
22	0.9890997509
23	0.9874518788
24	0.9858549454
25	0.9843726245
26	0.9829121548
27	0.9816333512
28	0.980446789
29	0.9793526945
30	0.9784488871
31	0.9773650639
32	0.9762427218
33	0.9753812473
34	0.9743520204
35	0.973288177
36	0.9723642344
37	0.9714372308
38	0.9708037275
39	0.9702045102
40	0.9694146462
41	0.968800556
42	0.9682158428
43	0.9676295378
44	0.9669206163
45	0.9663407432
46	0.9658721902
47	0.9653600334
48	0.9647615597
49	0.9642596189
50	0.9638965542
51	0.963269919
52	0.9624989536
53	0.9621336382
54	0.9615199946
55	0.9611094535
56	0.9606999735
57	0.9603357688
58	0.959726924
59	0.9592454914
60	0.9587480878
61	0.9585281722
62	0.9581321298
63	0.9576819858
64	0.9573133195
65	0.9569102092
66	0.9564613033
67	0.9561638617
68	0.9558503593
69	0.955623438
70	0.9550893613
71	0.9547648855
72	0.9544568987
73	0.9537883733
74	0.9531980056
75	0.9525768669
76	0.9520185462
77	0.9516150779
78	0.951059168
79	0.9508029652
80	0.9502429957
81	0.9496385006
82	0.9493387025
83	0.9489429709
84	0.9485868633
85	0.948138737
86	0.9477708547
87	0.947449616
88	0.9471223825
89	0.9468797897
90	0.9466567189
91	0.9461906872
92	0.9457517301
93	0.9452679142
94	0.944875283
95	0.9444153702
96	0.9441332526
97	0.9437754894
98	0.9432902323
99	0.9428890937
100	0.9426123404
101	0.9420065735
102	0.941739687
103	0.9413180458
104	0.941045083
105	0.9406609436
106	0.9403513375
107	0.9399991343
108	0.9396780319
109	0.9394632111
110	0.9390234139
111	0.9383964745
112	0.9381478203
113	0.9376756832
114	0.9371365051
115	0.9366358363
116	0.9362934458
117	0.936075103
118	0.9355900534
119	0.9351038241
120	0.9346629332
121	0.9343616192
122	0.9337268508
123	0.9332293716
124	0.9328439391
125	0.9324296042
126	0.9321133679
127	0.9316955672
128	0.9310854191
129	0.9305077192
130	0.9300116573
131	0.9295300679
132	0.9292315534
133	0.9289365725
134	0.9285911399
135	0.9283426644
136	0.9279424425
137	0.927632126
138	0.9273922105
139	0.9268915698
140	0.9263389766
141	0.9258968526
142	0.9256198286
143	0.9252660846
144	0.9248944934
145	0.9246429694
146	0.9244545909
147	0.9240317134
148	0.9238243256
149	0.9236689667
150	0.9231453361
151	0.9229056043
152	0.9226121958
153	0.9223792973
154	0.9218674236
155	0.9215626374
156	0.9212486374
157	0.9208772471
158	0.9207242603
159	0.9201836622
160	0.9199823481
161	0.9196952827
162	0.9192857318
163	0.9190619246
164	0.918567683
165	0.9182297527
166	0.9177301859
167	0.9172994412
168	0.9168583313
169	0.9163418107
170	0.9161645605
171	0.9156580996
172	0.9154064174
173	0.9150274723
174	0.9148156025
175	0.9143167516
176	0.9139873971
177	0.9137541214
178	0.9134423341
179	0.9130128316
180	0.9126908934
181	0.9124471456
182	0.9121550317
183	0.9117991787
184	0.9114030957
185	0.9111169186
186	0.9106899453
187	0.9101850786
188	0.9097576158
189	0.9094238284
190	0.9089513439
191	0.9085829865
192	0.9081913195
193	0.9077127631
194	0.9071179711
195	0.9068784102
196	0.9064809796
197	0.9061974947
198	0.9053737434
199	0.9049102358
200	0.9044180891
201	0.9041802944
202	0.9036425737
203	0.9030749427
204	0.9024648393
205	0.9022541405
206	0.9019212315
207	0.9015251692
208	0.9013587163
209	0.9011291087
210	0.9007220139
211	0.9004751314
212	0.90032923
213	0.9002109596
214	0.8999412519
215	0.8994304839
216	0.898878424
217	0.8985285444
218	0.8981677038
219	0.8978652117
220	0.8976099262
221	0.8972176918
222	0.8967682969
223	0.8964299094
224	0.8958861633
225	0.8954360424
226	0.8949368219
227	0.8945756739
228	0.8942902044
229	0.8940288367
230	0.8939077677
231	0.8934830857
232	0.8931349483
233	0.8928301451
234	0.8924569859
235	0.8920741849
236	0.8916539831
237	0.8912654561
238	0.8909281221
239	0.8906222355
240	0.8903191842
241	0.8900744016
242	0.8894841161
243	0.8887671802
244	0.8884553037
245	0.8881261015
246	0.88777376
247	0.8876019797
248	0.8868403446
249	0.8867109841
250	0.8863498939
251	0.8858113402
252	0.8853111283
253	0.8849817455
254	0.8847318394
255	0.884534432
256	0.8841614508
257	0.8835493013
258	0.8830103168
259	0.8825775736
260	0.8821310038
261	0.8817927574
262	0.8813214257
263	0.8808835379
264	0.8806328982
265	0.8802847175
266	0.8795923154
267	0.8788791649
268	0.8785744569
269	0.8783018194
270	0.8778095005
271	0.8774836245
272	0.8769600585
273	0.8766385014
274	0.8759849129
275	0.8756305219
276	0.8750810588
277	0.8747754126
278	0.8744550571
279	0.8742060184
280	0.8735303169
281	0.8730869424
282	0.8727141988
283	0.8725523037
284	0.8723224
285	0.8721303742
286	0.8719030732
287	0.8715189043
288	0.8709383813
289	0.8706351599
290	0.8703317697
291	0.8699735704
292	0.8694096237
293	0.8692093475
294	0.8685339068
295	0.8682425068
296	0.8677299408
297	0.8673691255
298	0.866926846
299	0.8666502295
300	0.8663652186
301	0.866138973
302	0.8659414334
303	0.8654649756
304	0.8651414899
305	0.8649687696
306	0.864629627
307	0.8640065704
308	0.863700339
309	0.8631651778
310	0.86298236
311	0.8626394191
312	0.8622529504
313	0.8618700009
314	0.8614912007
315	0.8613234127
316	0.8608529595
317	0.8603374805
318	0.859831959
319	0.8593613819
320	0.859055833
321	0.8587321451
322	0.8584791712
323	0.8579819605
324	0.8575846975
325	0.857253235
326	0.8568871385
327	0.8564895875
328	0.8563385425
329	0.8561099753
330	0.8557183486
331	0.8554521548
