iter	Passed	Remaining
138	18487	87914
139	18563	87513
140	18634	87091
141	18639	86371
142	18709	85957
143	18874	85985
144	18977	85727
145	19069	85419
146	19134	84997
147	19240	84763
148	19306	84354
149	19393	84037
150	19464	83659
151	19543	83315
152	19614	82946
153	19691	82600
154	19751	82190
155	19831	81868
156	19928	81616
157	19999	81263
158	20056	80856
159	20116	80466
160	20179	80093
161	20356	80171
162	20555	80329
163	20661	80125
164	21005	80838
165	21175	80875
166	21283	80672
167	21360	80356
168	21491	80243
169	21581	79978
170	21684	79764
171	21737	79367
172	21856	79213
173	21971	79047
174	22149	79106
175	22265	78942
176	22334	78612
177	22433	78390
178	22547	78223
179	22656	78039
180	22823	78055
181	22975	78014
182	23133	77995
183	23298	77998
184	23453	77966
185	23753	78413
186	23979	78607
187	24116	78505
188	24248	78392
189	24384	78286
190	24490	78087
191	24584	77850
192	24755	77857
193	24899	77780
194	24984	77516
195	25205	77675
196	25471	77965
197	25973	78969
198	26180	79068
199	26365	79096
200	26497	78964
201	26650	78894
202	26758	78692
203	26895	78578
204	27042	78488
205	27350	78865
206	27510	78810
207	27637	78660
208	27726	78403
209	27817	78154
210	27922	77944
211	28020	77716
212	28121	77498
213	28219	77274
214	28340	77111
215	28619	77377
216	28705	77121
217	28807	76908
218	28948	76800
219	29049	76584
220	29172	76428
221	29257	76174
222	29383	76027
223	29473	75787
224	29554	75527
225	29633	75263
226	29884	75435
227	30056	75405
228	30174	75238
229	30259	74991
230	30357	74775
231	30438	74521
232	30533	74302
233	30617	74056
234	30700	73811
235	30822	73659
236	30949	73521
237	31168	73600
238	31268	73396
239	31471	73434
240	31603	73304
241	31835	73405
242	31969	73279
243	32120	73193
244	32193	72928
245	32254	72638
246	32342	72410
247	32400	72116
248	32507	71935
249	32621	71766
250	32740	71611
251	32860	71458
252	33078	71516
253	33394	71784
254	33565	71739
255	33695	71602
256	33794	71402
257	33942	71306
258	34078	71182
259	34262	71161
260	34331	70899
261	34456	70754
262	34778	71012
263	34908	70874
264	34990	70642
265	35034	70331
266	35067	70003
267	35106	69688
268	35130	69347
269	35158	69014
270	35186	68684
271	35211	68351
272	35237	68023
273	35265	67698
274	35291	67375
275	35319	67056
276	35345	66734
277	35369	66413
278	35398	66101
279	35422	65784
280	35452	65478
281	35477	65168
282	35503	64859
283	35537	64568
284	35566	64268
285	35593	63968
286	35619	63668
287	35654	63385
288	35682	63092
289	35712	62804
290	35737	62510
291	35763	62218
292	35793	61935
293	35818	61647
294	35847	61366
295	35882	61096
296	35914	60824
297	36360	61250
298	36484	61133
299	36557	60929
300	36608	60689
301	36653	60441
302	36693	60187
303	36750	59961
304	36791	59710
305	36842	59477
306	36889	59240
307	36932	58995
308	36991	58778
309	37062	58581
310	37182	58463
311	37240	58248
312	37299	58035
313	37345	57802
314	37380	57553
315	37450	57361
316	37520	57168
317	37612	57010
318	37768	56948
319	37901	56851
320	38095	56846
321	38232	56755
322	38401	56709
323	38550	56636
324	38659	56503
325	38808	56427
326	38930	56312
327	39042	56183
328	39157	56058
329	39244	55894
330	39322	55716
331	39458	55621
332	39592	55524
333	39699	55388
334	39874	55348
335	40039	55292
336	40131	55136
337	40212	54964
338	40348	54868
339	40542	54850
340	40693	54775
341	40839	54690
342	41038	54678
343	41141	54536
344	41278	54440
345	41345	54251
346	41521	54205
347	41644	54090
348	41779	53990
349	41906	53879
350	42088	53840
351	42237	53756
352	42353	53631
353	42440	53469
354	42551	53338
355	42646	53188
356	42749	53047
357	42885	52947
358	42999	52821
359	43087	52662
360	43187	52518
361	43303	52395
362	43415	52265
363	43534	52145
364	43647	52018
365	43910	52068
366	44175	52120
367	44282	51983
368	44411	51873
369	44532	51753
370	44671	51654
371	44778	51519
372	44859	51354
373	44958	51208
374	45129	51146
375	45275	51055
376	45365	50900
377	45512	50810
378	45638	50696
379	45763	50580
380	45869	50443
381	45968	50300
382	46161	50259
383	46249	50103
384	46365	49978
385	46477	49848
386	46580	49709
387	46695	49584
388	46884	49536
389	47084	49498
390	47253	49428
391	47443	49379
392	47595	49291
393	47998	49460
394	48155	49374
395	48187	49161
396	48227	48956
397	48261	48746
398	48298	48540
399	48335	48335
400	48373	48132
401	48406	47924
402	48457	47736
403	48743	47778
404	49026	47816
405	49222	47767
406	49381	47682
407	49531	47588
408	49716	47528
409	50116	47671
410	50324	47630
411	50453	47514
412	50581	47396
413	50686	47258
414	50850	47174
415	51057	47129
416	51242	47064
417	51365	46942
418	51533	46860
419	51634	46717
420	51912	46733
421	52151	46714
422	52362	46667
423	52516	46571
424	52664	46468
425	52846	46396
426	53029	46323
427	53284	46312
428	53558	46317
429	53750	46250
430	53975	46210
431	54295	46251
432	54616	46291
433	54881	46282
434	55129	46258
435	55312	46178
436	55594	46180
437	55743	46071
438	56216	46227
439	56579	46292
440	56696	46153
441	56769	45980
442	56809	45780
443	56851	45583
444	56884	45380
445	56921	45179
446	56956	44979
447	57005	44789
448	57041	44591
449	57071	44389
450	57107	44192
451	57139	43992
452	57174	43795
453	57212	43602
454	57248	43408
455	57273	43206
456	57309	43013
457	57338	42815
458	57372	42622
459	57413	42435
460	57453	42249
461	57502	42068
462	57532	41875
463	57570	41689
464	57677	41552
465	57802	41428
466	58061	41401
467	58379	41414
468	58649	41392
469	58904	41358
470	59183	41340
471	59425	41295
472	59681	41259
473	60214	41413
474	60528	41414
475	60798	41384
476	61112	41382
477	61645	41526
478	62161	41657
479	62333	41555
480	62463	41425
481	62525	41251
482	62564	41061
483	62599	40870
484	62630	40677
485	62662	40485
486	62687	40290
487	62712	40094
488	62737	39900
489	62761	39706
490	62787	39514
491	62809	39319
492	62832	39126
493	62853	38933
494	62874	38740
495	62895	38548
496	62915	38357
497	62935	38165
498	62959	37977
499	62979	37787
500	62999	37598
501	63019	37409
502	63040	37222
503	63060	37035
504	63081	36849
505	63101	36663
506	63122	36479
507	63142	36294
508	63162	36110
509	63183	35927
510	63203	35745
511	63224	35563
512	63244	35382
513	63264	35201
514	63283	35021
515	63303	34841
516	63324	34662
517	63344	34484
518	63363	34306
519	63385	34130
520	63404	33953
521	63426	33778
522	63446	33603
523	63466	33428
524	63486	33255
525	63506	33081
526	63526	32908
527	63545	32735
528	63565	32563
529	63585	32392
530	63606	32222
531	63625	32052
532	63645	31882
533	63665	31713
534	63685	31544
535	63706	31377
536	63726	31210
537	63746	31043
538	63765	30877
539	63785	30711
540	63804	30546
541	63824	30381
542	63843	30217
543	63864	30053
544	63884	29890
545	63904	29728
546	63924	29566
547	63944	29404
548	63965	29244
549	63985	29084
550	64005	28924
551	64025	28764
552	64045	28606
553	64065	28447
554	64226	28352
555	64629	28362
556	64839	28287
557	65271	28307
558	65657	28306
559	65896	28241
560	66143	28178
561	66522	28171
562	66957	28186
563	67446	28222
564	67771	28188
565	67924	28081
566	68053	27965
567	68119	27823
568	68151	27667
569	68176	27509
570	68201	27352
571	68224	27194
572	68248	27037
573	68273	26881
574	68297	26725
575	68322	26569
576	68344	26413
577	68369	26259
578	68393	26105
579	68419	25952
580	68442	25798
581	68467	25646
582	68493	25494
583	68518	25342
584	68540	25190
585	68565	25039
586	68587	24887
587	68613	24738
588	68636	24588
589	68662	24439
590	68686	24290
591	68712	24142
592	68735	23993
593	68761	23846
594	68784	23698
595	68807	23551
596	68829	23404
597	68853	23258
598	68877	23112
599	68900	22966
600	68932	22824
601	68965	22682
602	68992	22539
603	69015	22395
604	69041	22252
605	69064	22109
606	69089	21967
607	69111	21824
608	69134	21682
609	69156	21540
610	69178	21398
611	69199	21257
612	69223	21116
613	69245	20976
614	69268	20836
615	69290	20697
616	69312	20557
617	69333	20418
618	69354	20279
619	69374	20141
620	69395	20002
621	69417	19865
622	69438	19728
623	69459	19591
624	69479	19454
625	69501	19318
626	69522	19182
627	69542	19046
628	69564	18911
629	69585	18776
630	69605	18642
631	69627	18508
632	69648	18374
633	69669	18241
634	69690	18108
635	69712	17976
636	69732	17843
637	69753	17711
638	69773	17579
639	69795	17448
640	69819	17318
641	69830	17185
642	69850	17055
643	69871	16925
644	69898	16797
645	69926	16669
646	69947	16541
647	69968	16412
648	69990	16284
649	70011	16156
650	70032	16029
651	70223	15940
652	70564	15885
653	70787	15802
654	70898	15695
655	71263	15643
656	71506	15563
657	71762	15486
658	72007	15406
659	72245	15324
660	72572	15261
661	72772	15170
662	72997	15083
663	73162	14985
664	73286	14877
665	73425	14773
666	73575	14670
667	73789	14581
668	73983	14487
669	74121	14381
670	74278	14279
671	74438	14178
672	74980	14149
673	75939	14196
674	76577	14180
675	77289	14177
676	77706	14118
677	78165	14065
678	78463	13982
679	78707	13889
680	79045	13812
681	79266	13714
682	79506	13619
683	79728	13521
684	79863	13407
685	80166	13322
686	80323	13211
687	80543	13111
688	80707	13002
689	80950	12905
690	81072	12788
691	81260	12682
692	81651	12607
693	81943	12515
694	82289	12432
695	82477	12324
696	82772	12231
697	82873	12110
698	83089	12005
699	83377	11911
700	83503	11792
701	83748	11691
702	83917	11578
703	84076	11464
704	84280	11356
705	84425	11240
706	84665	11137
707	84904	11032
708	85069	10918
709	85301	10812
710	85420	10692
711	85625	10582
712	85826	10472
713	85988	10357
714	86206	10248
715	86429	10139
716	86581	10022
717	86705	9902
718	86881	9787
719	87022	9669
720	87217	9556
721	87336	9435
722	87371	9305
723	87421	9176
724	87470	9048
725	87520	8920
726	87621	8798
727	87794	8683
728	87939	8564
729	88072	8445
730	88255	8330
731	88361	8208
732	88445	8084
733	88594	7966
734	88703	7844
735	88874	7728
736	89013	7608
737	89138	7488
738	89261	7367
739	89371	7246
740	89487	7125
741	89624	7005
742	89770	6886
743	89876	6764
744	90055	6648
745	90204	6529
746	90351	6410
747	90451	6288
748	90583	6167
749	90706	6047
750	90834	5926
751	90919	5803
752	90990	5679
753	91101	5557
754	91253	5438
755	91415	5320
756	91614	5203
757	91718	5082
758	91837	4960
759	91936	4838
760	92081	4719
761	92170	4596
762	92298	4475
763	92476	4357
764	92582	4235
765	92697	4114
766	92915	3997
767	92985	3874
768	93104	3753
769	93167	3629
770	93286	3508
771	93388	3387
772	93589	3268
773	93824	3151
774	94065	3034
775	94210	2913
776	94325	2792
777	94435	2670
778	94641	2551
779	94803	2430
780	94998	2311
781	95219	2191
782	95325	2069
783	95477	1948
784	95585	1826
785	95727	1705
786	95889	1583
787	96010	1462
788	96111	1339
789	96225	1218
790	96319	1095
791	96420	973
792	96503	851
793	96616	730
794	96920	609
795	97158	488
796	97322	366
797	97446	244
798	97586	122
799	97683	0
